vacancy_id,vacancy_name,company_name,company_dept,area,address,latitude,longitude,salary_from,salary_to,salary_currency,salary_gross,publication_time,last_changed,schedule,req,resp,cond,skills
72483352,Аналитик данных,СберМегаМаркет,,1,,,,,,,,2022-11-17 13:48:32,2022-11-25 10:00:38,REMOTE,Опыт работы в сфере анализа данных на позиции аналитика в сфере маркетплейсов/логистики/продуктового ритейла. Умение работать с базами данными...,"Взаимодействие с подразделениями компаний по вопросам разработки/доработки необходимой отчетности. Прямое обращение к источникам данных всех компаний холдинга (OLAP, BI...","Проекты, которые развивают: всегда есть возможность прокачать свои навыки в работе и профессионально расти. Среда для обмена знаниями – высокая экспертиза...",
71393741,Аналитик данных,START.RU,,1,,,,,,,,2022-11-18 15:38:36,2022-11-18 15:38:36,REMOTE,Высшее техническое образование. Релевантный опыт работы от 2 лет. Опыт проведения и автоматизации A/B тестов. Опыт взаимодействия с заказчиками. ,...автоматизации расчетов АБ экспериментов. Разработка системы метрик и мониторинга рекомендательной системы. Разработка системы маркетинговых взаимодействий с пользователями на основе данных.,"Конкурентная зарплата, система бонусов. Расширенная ДМС программа со стоматологией. Возможность удаленной работы. Полное соблюдение ТК РФ (оформление, оплата больничных, отпусков...",
71286986,Аналитик данных BI (Qlik Sense),Группа страховых компаний Югория,,1,"Москва, Бутырский Вал, 68/70 стр. 7",,,170000.0,,RUR,False,2022-11-18 07:37:10,2022-11-18 07:37:10,FULL_DAY,Успешный опыт работы аналитиком данных. Общее представление о математической статистике и теории вероятности. Опыт работы с библиотеками визуализации данных. ,Разработка алгоритмов и статистических/математических моделей. Участие в процессах интеграции источников данных в системе BI. Построение и поддержка дашбордов в...,"Офис в пешей доступности: ст.м. Савеловская\Белорусская\Новослободская. Работа в стабильной компании, входит в Топ – 10 страховых компаний России. ",
72545533,Аналитик данных,Цифромед,,1,"Москва, Тестовская улица, 10",55.751801,37.532646,,,,,2022-11-18 11:51:08,2022-11-18 11:51:09,FULL_DAY,"Желательно знание ГОСТ, наличие опыта работы в гос. заказе. Навыки анализа данных, BI и OLAP инструментарий, желательно системный анализ, желательно...","...визуализации аналитики данных. Организация взаимодействия с функциональными заказчиками аналитической информации, дашбордов, отчётов, ETL потоков аналитических данных. Анализ данных, источников данных...",Официальное трудоустройство в соответствии с ТК РФ. Конкурентная заработная плата и ежегодные бонусы. ДМС + стоматология. Гибкое начало рабочего дня...,
69058124,Аналитик данных,Tele2,,1,"Новомосковский административный округ, Киевское шоссе, 22-й километр, 6с1",55.633816,37.431936,,,,,2022-11-18 13:06:00,2022-11-24 15:37:41,FULL_DAY,"Практический опыт анализа данных, написания скриптов/макросов для преобразования и обработки данных, разработки моделей. Отличное знание SQL (важное базовое требование). ",Выработка рекомендаций по изменению таргетинга для коррекции результатов. Сопровождение со стороны аналитики пилотных кампаний. Оперативная аналитика по новым дизайнам или...,Интересная работа в быстроразвивающейся компании. Уникальная система обучения для каждого сотрудника на основе индивидуальных планов развития. Зеленый свет для новых...,
71785472,Старший аналитик данных,Ozon Офис и Коммерция,Ozon Офис и Коммерция,1,,,,,,,,2022-11-18 06:51:18,2022-11-27 07:01:20,FULL_DAY,"Желательно: математическое / экономическое образование / менеджмент / логистика. Опыт работы в аналитике товародвижения, логистики или FMCG компаниях будет преимуществом. Опыт работы с...","Заниматься написанием скриптов загрузки данных. Работать с большими массивами данных, систематизировать и интегрировать их из различных источников в сложной ИТ...","Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce. Достойный уровень заработной платы. ",
72483827,Аналитик данных (удаленная работа),СберМегаМаркет,,1,"Москва, Софийская набережная, 30с2",55.747181,37.621417,,,,,2022-11-17 13:58:52,2022-11-25 12:48:20,FULL_DAY,Опыт работы в сфере анализа данных на позиции аналитика в сфере маркетплейсов/логистики/продуктового ритейла. Умение работать с базами данными...,"Взаимодействие с подразделениями компаний по вопросам разработки/доработки необходимой отчетности. Прямое обращение к источникам данных всех компаний холдинга (OLAP, BI...","Проекты, которые развивают: всегда есть возможность прокачать свои навыки в работе и профессионально расти. Среда для обмена знаниями – высокая экспертиза...",
72543609,Аналитик данных,Сбер. IT,Сбер. IT,1,,,,,,,,2022-11-18 11:30:32,2022-11-27 07:01:20,FULL_DAY,"Работа с данными. Навыки: Базовое понимание принципов работы Баз Данных. Высшее образование по профилю (математическое, экономическое, техническое). Понимание стандартных алгоритмов. ","Участника команды в проект «Единый источник данных Казначейства», который бы помог нам с ежедневным мониторингом процессов поставки данных в команде...",,
71343651,Аналитик данных,СОГАЗ: г. Москва,СОГАЗ: г. Москва,1,"Москва, Уланский переулок, 26",55.769955,37.641755,,,,,2022-11-18 14:09:36,2022-11-18 14:09:36,FULL_DAY,Опыт работы с BI-платформами (QlikView). Опыт настройки API-интеграций. Понимание архитектуры корпоративных хранилищ данных. Желателен опыт внедрения маркетинговой аналитики. ,...коммуникаций из баз данных. Настройка автоматических выгрузок. Мониторинг и анализ клиентской базы. Построение витрин данных. Настройка обмена данных по API. ,"Опыт в компании 1 в России на рынке корпоративного страхования, в высокопрофессиональной команде с уникальной для рынка историей, знаниями и...",
72474440,Аналитик обработки данных,Ритейл Эксперт,,1,"Москва, 17-й проезд Марьиной Рощи, 4к1",55.809171,37.611976,,90000.0,RUR,False,2022-11-17 11:43:00,2022-11-17 13:03:44,FULL_DAY,"Высшее профильное образование (техническое, математическое). Опыт работы с массивом данных, Excel/Access макросы VBA (обязательно), SQL (как преимущество*) выгрузки. ","...подразделениями на предмет обсуждения данных, отраженных в отчетах и осуществление корректирующих мер. Технический анализ и интерпретация данных коммерческой отчетности – товарооборот...",Комфортный офис возле м. Бутырская. Работа в одном из лидеров своего сегмента. График работы 5/2 с 09.00 до...,
72531059,Аналитик данных в команду платформы АБ-тестирования,Сбер для экспертов,Сбер для экспертов,1,,,,,,,,2022-11-18 09:19:14,2022-11-27 07:01:20,FULL_DAY,...продуктового аналитика - опыт проведения АБ-тестов. Знание SQL на хорошем уровне (опыт работы с Hive будет плюсом). Опыт анализа данных...,Помогать продуктовым командам с проведением экспериментов: от идеи и дизайна эксперимента до интерпретации результатов. Помогать с нестандартными расчетами - поддерживать и...,Официальное трудоустройство согласно ТК РФ. Заработная плата (оклад + годовая премия). Возможность обучения за счет компании. Страхование (от несчастных случаев...,
70020940,Middle/Senior аналитика данных,К-ТЕХНОЛОГИИ,,1,"Москва, Электрозаводская улица, 27с8",55.791582,37.705607,,,,,2022-11-25 12:41:28,2022-11-25 12:41:28,FULL_DAY,"Опыт разработки требований для UX/UI, прототипирования интерфейсов. Опыт разработки и тестирования ПО. Понимание архитектуры хранилищ данных. Опыт работы с...","Выявление, формализация требований. Формирование бэклога, согласование с командой разработки. Предложение и тестирование гипотез, разработка и формализация пользовательских сценариев. ","...и архитектурные встречи по обмену опытом; формируем персональный план развития аналитика. Следование современным трендам: Gitlab, настроенный CI/CD, набор инструментов...",
72531692,Аналитик данных SQL (middle),«РОСБАНК»,«РОСБАНК»,1,,,,,,,,2022-11-18 09:27:24,2022-11-21 08:40:30,REMOTE,"Знакомство с Hadoop, Spark, Hive, HBase (приветствуется). Опыт работы аналитиком или разработчиком в Data. Будет преимуществом опыт работы с данными...","...витрин данных, анализ данных и устранение возникающих проблем. Обеспечение доступности данных для анализа и их корректная передача между командами аналитики. ",Полностью дистанционный формат работы – это возможность работать из любой точки РФ. Стабильный и прозрачный доход: зарплата и премии по результатам...,
72335867,Аналитик данных,ТехноГрупп,,1,"Дзержинский, улица Энергетиков, 1",55.638953,37.834048,,110000.0,RUR,False,2022-11-15 06:22:06,2022-11-16 05:46:00,FULL_DAY,"Личностные качества: Аналитический склад ума, внимательность, ответственность, конструктивность. Умение работать с большими объемами данных. Коммуникабельность. Владение базовыми знаниями мат.статистики и...","Количество сотрудников: 1. Непосредственный руководитель: Руководитель отдела аналитики. Сбор, обработка и анализ больших объемов данных в Excel. Анализ трендов, прогнозирование. ",ЗП на испытательный срок: От 110 000. Дополнительные выплаты: KPI. Режим работы: 09.00-18.00.,
