vacancy_id,vacancy_name,company_name,company_dept,area,address,latitude,longitude,salary_from,salary_to,salary_currency,salary_gross,publication_time,last_changed,schedule,req,resp,cond,skills
67924416,Senior Data Scientist/ML Engineer SberDevices,СБЕР,,1,,,,,,,,2022-11-15 11:15:15,2022-11-27 07:01:20,FULL_DAY,Уверенное владение Python на рабочем уровне. Хорошее знание классических алгоритмов и структур данных. Базовые знания и желание развиваться в области...,Участие в разработке поискового движка. Разработка и оптимизация алгоритмов машинного обучения. Внедрение в продакшн ML решений.,"Самые инновационные, амбициозные проекты и задачи. Профессиональное обучение, семинары, тренинги, конференции, корпоративная библиотека. ДМС, страхование жизни. Свободный дресс-код. ",
72087568,Data scientist [CJ Monitoring & Discovery],"«МТС», IT","«МТС», IT",1,"Москва, проспект Андропова, 18к9",55.691734,37.660557,,,,,2022-11-14 12:16:13,2022-11-23 11:21:59,FLEXIBLE,Опыт работы с рядом инструментов data sciens. Знание отличии возможностей и функционала для определения инструмента под задачу. Опыт работы с...,"Участием в построении правильной архитектуры данных data-платформы с учетом потребностей в data science (стриминг, обогащение данных и др.). ","Медицинскую страховку с 1 месяца со 100% покрытием расходов, включая стоматологию, страхование жизни и здоровья в поездках за рубеж. ",
72297037,Педагогический дизайнер направления Data Science,Нетология,,1,,,,,,,,2022-11-14 09:08:31,2022-11-21 22:46:26,REMOTE,Навыки обучения непрофессиональных преподавателей (экспертов-практиков) основам преподавательского мастерства. Опыт создания контента для курсов по IT тематике (желателен).,"Участвовать в выстраивании линейки программ бизнес юнита Аналитика/Data Science. Разрабатывать методическую концепцию образовательного продукта. Разрабатывать матрицу компетенций, карту развития...","Оформление в штат, согласно ТК РФ. Возможность работать удаленно. Профессиональная команда и атмосфера: мы в диалоге друг с другом, познаем...",
72285842,Data Scientist (Разработчик AI/ML),Промышленные инновации,,1,"Москва, 1-й Нагатинский проезд, 10",55.678418,37.632278,,,,,2022-11-14 06:57:05,2022-11-14 11:02:35,FULL_DAY,"Опыт работы в должности Data Scientist или аналитик данных. Знание основных библиотек и фреймворков машинного обучения (sklearn, scipy, numpy, pyspark...",Выполнение функций Data Scientist-а при реализации проектов по предиктивной аналитике на промышленных предприятиях: Анализ производственных процессов и выработка требований...,"Заработная плата по итогам собеседования. - График работы с 8:00-17:00, пт до 15:45, возможен гибридный график. - ",
72421751,Middle Data Scientist в команду ботов в SberCare,Сбер для экспертов,Сбер для экспертов,1,,,,,,,,2022-11-16 13:01:56,2022-11-27 07:01:20,FULL_DAY,Опыт разработки на python с участием библиотек обработки текстовых данных. Опыт работы с pytorch для построения DL текстовых моделей. ,"Разработка и внедрение моделей для решения NLU задач (с фокусом на Intent Classification, NER, Language Modeling). Оптимизация работы моделей в...","Полный рабочий день, но гибкий график работы (можно выбрать режим начала работы в промежутке 7:00 - 10:30). ",
72027147,Data Scientist,Группа НЛМК,,1,,,,,,,,2022-11-07 13:06:00,2022-11-10 13:47:55,FULL_DAY,"Высшее техническое/математическое/экономическое. Знание методов математического моделирования, машинного обучения, статистики, оптимизации. Понимание задач регрессии, классификации, кластеризации; а также применения...",Трансформация бизнес запросов на язык машинного обучения: Анализ запросов (проблематики) от производства. Формирование возможных ML решений этих проблем. ,График работы 5/2 (возможен удаленный формат). Современный офис с инновационной зоной. В пешей доступности от метро «Полянка». ,
71080815,Data Scientist (NLP),Газпромбанк,Газпромбанк,1,,,,,,,,2022-11-10 15:56:00,2022-11-22 07:35:45,FULL_DAY,"Высшее техническое/математическое образование. Знание python, SQL, Git - знание ML, DL: pytorch/tensorflow + numpy, pandas, scikit-learn и т...","Разработка моделей в области NLP: текстовая аналитика, языковые модели, речевая аналитика и многое другое. Доведение разработанной модели до вывода в...",,
72082373,Data Analyst / Data Scientist (GameDev),Amaya Soft,,1,,,,,,,,2022-11-08 13:33:26,2022-11-25 04:46:47,FULL_DAY,"Опыт работы от 2х лет на позиции аналитика. Уверенное владение SQL, владение Python. Хорошее знание математической статистики и методов...","Анализ данных, получаемых от мобильных приложений. Участие в проведении экспериментов (А/B тестов). Создание аналитических отчетов и подготовка заключений о...","Проектную работу / частичную занятость. Полностью удалённую работу в иностранной компании. Работу в успешном коммерческом проекте, которым пользуются дети и родители...",
71322369,Data Scientist Middle/Senior,Вкусно - и точка,,1,"Москва, Валовая улица, 26",55.730639,37.62819,,,,,2022-11-16 20:40:49,2022-11-16 20:40:49,FULL_DAY,"Bachelor’s degree required. Graduate degree in quantitative discipline and demonstrated Data Science skill set, plus 3+ years work...",...to combine disparate internal and external data sources. Share their passion for Data Science with broader enterprise community; identify and...,,
72285658,Lead Data Scientist (Разработчик AI/ML),Промышленные инновации,,1,"Москва, 1-й Нагатинский проезд, 10",55.678418,37.632278,,,,,2022-11-14 06:54:30,2022-11-14 11:00:14,FULL_DAY,"Опыт работы в должности Data Scientist или аналитик данных. Знание основных библиотек и фреймворков машинного обучения (sklearn, scipy, numpy, pyspark...",Выполнение функций Data Scientist-а при реализации проектов по предиктивной аналитике на промышленных предприятиях: Анализ производственных процессов и выработка требований...,"Заработная плата по итогам собеседования. - График работы с 8:00-17:00, пт до 15:45, возможен гибридный график. - ",
70011803,"Data Scientist, СберЛид",Сбер. IT,Сбер. IT,1,"Москва, Кутузовский проспект, 32к1",55.741338,37.531127,,,,,2022-11-09 14:30:25,2022-11-27 07:01:20,FULL_DAY,"2+ года опыта профессиональной разработки моделей машинного обучения. Аналитический склад ума. Python3, включая стек библиотек для работы с...",Разработка и совершенствование ML моделей для рекомендательной системы. Выведение моделей в промышленную эксплуатацию. Общении с бизнес заказчиком. Взаимодействие с DS...,"Проекты большого масштаба, сложные и интересные задачи с полной свободой выбора инструментов. Интересный монетизируемый продукт для реализации потребностей реальных предпринимателей...",
